 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_4154
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   255      16     13917     13901   218.023       408  0.200887  0.293398
   256      16     13991     13975   218.327       296  0.067651  0.292761
   257      16     14091     14075   219.034       400  0.197342  0.292099
   258      16     14172     14156    219.44       324  0.066917  0.291151
   259      16     14185     14169   218.794        52  0.074246  0.290974
2013-09-25 06:22:52.756871min lat: 0.059625 max lat: 14.0809 avg lat: 0.291214
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     14196     14180   218.122        44  0.085104  0.291214
   261      16     14274     14258   218.481       312  0.167381    0.2928
   262      16     14372     14356   219.143       392   0.18505  0.291944
   263      16     14473     14457   219.846       404  0.087701  0.290935
   264      16     14559     14543   220.316       344  0.075947  0.290272
   265      16     14652     14636   220.888       372  0.071833  0.289461
   266      16     14729     14713   221.215       308  0.125575  0.288855
   267      16     14796     14780    221.39       268  0.088709  0.288022
   268      16     14806     14790   220.714        40  0.090015  0.288083
   269      16     14844     14828   220.458       152   0.60687  0.290011
   270      16     14901     14885   220.486       228  0.074102  0.289386
   271      16     14901     14885   219.672         0         -  0.289386
   272      16     14901     14885   218.865         0         -  0.289386
   273      16     14901     14885   218.063         0         -  0.289386
   274      16     14901     14885   217.267         0         -  0.289386
   275      16     14901     14885   216.477         0         -  0.289386
   276      16     14901     14885   215.693         0         -  0.289386
   277      16     14901     14885   214.914         0         -  0.289386
   278      16     14928     14912    214.53      13.5  0.079165  0.291129
   279      16     14954     14938   214.133       104  0.138617  0.291531
2013-09-25 06:23:12.759533min lat: 0.058771 max lat: 14.0809 avg lat: 0.294737
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     14990     14974   213.883       144  0.085722  0.294737
   281      16     15019     15003   213.534       116  0.074213  0.294332
   282      16     15062     15046   213.387       172  0.284952  0.299834
   283      16     15168     15152   214.131       424   0.09116  0.298791
   284      16     15260     15244   214.673       368  0.101204  0.297913
   285      16     15292     15276   214.369       128  0.084495  0.297531
   286      16     15294     15278   213.647         8  0.076089  0.297509
   287      16     15294     15278   212.903         0         -  0.297509
   288      16     15294     15278   212.163         0         -  0.297509
   289      16     15303     15287   211.554        12    5.1483  0.299419
   290      16     15399     15383   212.148       384  0.126446  0.301578
   291      16     15497     15481   212.766       392  0.126844  0.300682
   292      16     15605     15589   213.517       432  0.108673  0.299652
   293      16     15698     15682   214.057       372  0.079605  0.298705
   294      16     15783     15767   214.486       340  0.067368  0.298055
   295      16     15842     15826   214.558       236  0.095859  0.298062
   296      16     15880     15864   214.347       152  0.072135  0.297639
   297      16     15888     15872   213.733        32  0.082804  0.297546
   298      16     15912     15896   213.338        96    0.1563  0.297701
   299      16     15925     15909   212.798        52  0.077811  0.297527
2013-09-25 06:23:32.762470min lat: 0.058771 max lat: 14.1808 avg lat: 0.300183
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     16002     15986   213.115       308  0.234056  0.300183
 Total time run:         300.268004
Total writes made:      16002
Write size:             4194304
Bandwidth (MB/sec):     213.170 

Stddev Bandwidth:       159.396
Max bandwidth (MB/sec): 444
Min bandwidth (MB/sec): 0
Average Latency:        0.300221
Stddev Latency:         0.959349
Max latency:            14.1808
Min latency:            0.058771
