 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5912
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   246      16     14081     14065   228.663       240  0.104366  0.279526
   247      16     14174     14158   229.243       372  0.124859  0.279049
   248      16     14276     14260   229.964       408  0.122638  0.278186
   249      16     14368     14352   230.518       368  0.076656  0.277521
   250      16     14405     14389   230.188       148  0.077328  0.277084
   251      16     14422     14406   229.542        68   0.07565  0.277067
   252      16     14422     14406   228.631         0         -  0.277067
   253      16     14452     14436   228.201        60  0.068355  0.277927
   254      16     14530     14514   228.531       312  0.195272  0.279946
   255      16     14623     14607   229.094       372   0.19486  0.279239
   256      16     14729     14713   229.855       424  0.263981  0.278316
   257      15     14825     14810    230.47       388  0.295898  0.277627
   258      16     14915     14899   230.956       356  0.077531  0.276988
   259      16     15007     14991   231.485       368  0.128878  0.276299
2013-09-25 07:58:21.981751min lat: 0.058125 max lat: 9.24276 avg lat: 0.275923
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     15045     15029   231.179       152  0.087317  0.275923
   261      16     15092     15076   231.014       188  0.080252  0.276538
   262      16     15110     15094   230.407        72  0.087736  0.276387
   263      16     15149     15133   230.124       156  0.067674  0.276121
   264      16     15215     15199   230.252       264  0.128956  0.277867
   265      16     15316     15300   230.907       404  0.107548  0.277085
   266      16     15364     15348   230.761       192  0.206259  0.276607
   267      16     15409     15393   230.571       180  0.093736   0.27727
   268      16     15431     15415   230.039        88  0.071653  0.277274
   269      16     15454     15438   229.525        92  0.122121  0.278272
   270      16     15535     15519   229.875       324  0.142736  0.278273
   271      16     15639     15623   230.562       416  0.085408   0.27749
   272      16     15735     15719   231.126       384  0.103002  0.276782
   273      16     15814     15798   231.436       316   0.14797  0.276367
   274      16     15834     15818   230.883        80  0.082808  0.276184
   275      16     15860     15844   230.422       104  0.163368  0.276923
   276      16     15893     15877   230.065       132   0.08642  0.277772
   277      16     15959     15943   230.188       264  0.107541  0.277905
   278      16     16048     16032    230.64       356  0.112908  0.277356
   279      16     16065     16049   230.057        68  0.069083  0.277205
2013-09-25 07:58:41.984859min lat: 0.0575 max lat: 9.24276 avg lat: 0.277178
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     16077     16061   229.407        48  0.078055  0.277178
   281      16     16078     16062   228.605         4  0.076099  0.277166
   282      16     16146     16130   228.759       272  0.107158  0.279527
   283      16     16206     16190   228.798       240  0.131361  0.279587
   284      16     16307     16291   229.415       404  0.101135   0.27887
   285      16     16391     16375   229.789       336  0.101054  0.278415
   286      16     16475     16459    230.16       336  0.165144  0.277973
   287      16     16576     16560   230.765       404  0.153321  0.277248
   288      16     16620     16604   230.575       176  0.082111  0.277228
   289      16     16719     16703   231.147       396  0.298887  0.276756
   290      16     16780     16764   231.191       244  0.074583  0.276178
   291      16     16794     16778   230.589        56  0.077362   0.27601
   292      16     16798     16782   229.854        16  0.072194  0.275963
   293      16     16798     16782    229.07         0         -  0.275963
   294      16     16798     16782   228.291         0         -  0.275963
   295      16     16798     16782   227.517         0         -  0.275963
   296      16     16798     16782   226.748         0         -  0.275963
   297      16     16869     16853   226.941      56.8  0.233258  0.281935
   298      16     16967     16951   227.495       392  0.138387  0.281237
   299      16     17064     17048   228.031       388    0.1641  0.280567
2013-09-25 07:59:01.987756min lat: 0.0575 max lat: 9.24276 avg lat: 0.280084
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     17140     17124   228.284       304  0.087592  0.280084
   301      16     17140     17124   227.526         0         -  0.280084
 Total time run:         301.600169
Total writes made:      17140
Write size:             4194304
Bandwidth (MB/sec):     227.321 

Stddev Bandwidth:       142.178
Max bandwidth (MB/sec): 436
Min bandwidth (MB/sec): 0
Average Latency:        0.281532
Stddev Latency:         0.637186
Max latency:            9.24276
Min latency:            0.0575
