 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_6625
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   267      16     11273     11257   168.621         0         -  0.307021
   268      16     11273     11257   167.992         0         -  0.307021
   269      16     11289     11273   167.605   1.23077  0.342659  0.343844
   270      16     11295     11279   167.073        24   1.60296   0.35814
   271      16     11322     11306   166.855       108  0.178077  0.382434
   272      16     11347     11331    166.61       100  0.075171  0.382353
   273      16     11367     11351   166.292        80  0.098337  0.382571
   274      16     11386     11370   165.963        76  0.078809  0.382926
   275      16     11420     11404   165.854       136  0.085326  0.382418
   276      16     11436     11420   165.484        64  0.163177  0.382737
   277      16     11452     11436   165.118        64  0.068523  0.382782
   278      16     11457     11441   164.596        20   0.08665  0.383209
   279      16     11460     11444   164.049        12  0.083309  0.383603
2013-09-25 09:36:26.829553min lat: 0.060842 max lat: 54.8447 avg lat: 0.385583
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     11484     11468   163.806        96  0.071555  0.385583
   281      16     11503     11487   163.493        76   1.26612    0.3852
   282      16     11509     11493   162.999        24  0.087784  0.385347
   283      16     11527     11511   162.677        72  0.086235  0.386312
   284      16     11544     11528   162.344        68  0.076622  0.386154
   285      16     11553     11537     161.9        36  0.080431  0.388509
   286      16     11554     11538   161.348         4   15.3781  0.389808
   287      16     11566     11550   160.953        48  0.074205  0.391575
   288      16     11570     11554    160.45        16  0.122055  0.392375
   289      16     11583     11567   160.075        52  0.072522  0.392853
   290      16     11598     11582    159.73        60  0.084048  0.393313
   291      16     11626     11610   159.566       112    0.0722  0.393631
   292      16     11658     11642   159.457       128  0.071625  0.393881
   293      16     11693     11677   159.391       140  0.088316  0.394094
   294      16     11710     11694    159.08        68   1.12423  0.395645
   295      16     11732     11716   158.839        88  0.249635  0.396923
   296      16     11744     11728   158.465        48  0.080703  0.397641
   297      16     11776     11760   158.362       128  0.079901  0.398031
   298      16     11790     11774   158.018        56   11.7666  0.399692
   299      16     11791     11775   157.503         4  0.075848  0.399664
2013-09-25 09:36:46.832608min lat: 0.060842 max lat: 54.8447 avg lat: 0.400595
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     11795     11779   157.032        16  0.091541  0.400595
   301      16     11796     11780   156.523         4   13.5471  0.401711
   302      16     11796     11780   156.005         0         -  0.401711
   303      16     11796     11780    155.49         0         -  0.401711
   304      16     11796     11780   154.979         0         -  0.401711
   305      16     11796     11780    154.47         0         -  0.401711
   306      16     11796     11780   153.966         0         -  0.401711
   307      16     11796     11780   153.464         0         -  0.401711
 Total time run:         307.613851
Total writes made:      11796
Write size:             4194304
Bandwidth (MB/sec):     153.387 

Stddev Bandwidth:       159.828
Max bandwidth (MB/sec): 452
Min bandwidth (MB/sec): 0
Average Latency:        0.417227
Stddev Latency:         2.2673
Max latency:            54.8447
Min latency:            0.060842
